"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,9915,23.54603
0,9930,23.52559
0,9945,23.50516
0,9960,23.48475
0,9975,23.46436
0,9990,23.44399
0,10005,23.42363
0,10020,23.4033
0,10035,23.38298
0,10050,23.36267
0,10065,23.34239
0,10080,23.32212
0,10095,23.30187
0,10110,23.28164
0,10125,23.26143
0,10140,23.24123
0,10155,23.22105
0,10170,23.20089
0,10185,23.18075
0,10200,23.16063
0,10215,23.14052
0,10230,23.12043
0,10245,23.10035
0,10260,23.0803
0,10275,23.06026
0,10290,23.04024
0,10305,23.02024
0,10320,23.00025
0,10335,22.98028
0,10350,22.96033
0,10365,22.9404
0,10380,22.92048
0,10395,22.90059
0,10410,22.8807
0,10425,22.86084
0,10440,22.84099
0,10455,22.82117
0,10470,22.80135
0,10485,22.78156
0,10500,22.76178
0,10515,22.74202
0,10530,22.72228
0,10545,22.70255
0,10560,22.68284
0,10575,22.66315
0,10590,22.64348
0,10605,22.62382
0,10620,22.60418
0,10635,22.58456
0,10650,22.56495
0,10665,22.54536
0,10680,22.52579
0,10695,22.50624
0,10710,22.4867
0,10725,22.46718
0,10740,22.44768
0,10755,22.42819
0,10770,22.40872
0,10785,22.38927
0,10800,22.36983
0,10815,22.35042
0,10830,22.33101
0,10845,22.31163
0,10860,22.29226
0,10875,22.27291
0,10890,22.25358
0,10905,22.23426
0,10920,22.21496
0,10935,22.19567
0,10950,22.17641
0,10965,22.15716
0,10980,22.13792
0,10995,22.11871
0,11010,22.09951
0,11025,22.08033
0,11040,22.06116
0,11055,22.04201
0,11070,22.02288
0,11085,22.00376
0,11100,21.98466
0,11115,21.96558
0,11130,21.94651
0,11145,21.92746
0,11160,21.90843
0,11175,21.88941
0,11190,21.87041
0,11205,21.85143
0,11220,21.83246
0,11235,21.81351
0,11250,21.79457
0,11265,21.77566
0,11280,21.75676
0,11295,21.73787
0,11310,21.719
0,11325,21.70015
0,11340,21.68132
0,11355,21.6625
0,11370,21.64369
0,11385,21.62491
0,11400,21.60614
0,11415,21.58738
0,11430,21.56865
0,11445,21.54992
0,11460,21.53122
0,11475,21.51253
0,11490,21.49386
0,11505,21.4752
0,11520,21.45656
0,11535,21.43794
0,11550,21.41933
0,11565,21.40074
0,11580,21.38217
0,11595,21.36361
0,11610,21.34507
0,11625,21.32654
0,11640,21.30803
0,11655,21.28953
0,11670,21.27106
0,11685,21.25259
0,11700,21.23415
0,11715,21.21572
