"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
6,1140,0.158305
6,1155,0.158396
6,1170,0.1584831
6,1185,0.1585658
6,1200,0.1586441
6,1215,0.1587174
6,1230,0.1587856
6,1245,0.1588484
6,1260,0.1589056
6,1275,0.1589568
6,1290,0.1590018
6,1305,0.1590405
6,1320,0.1590726
6,1335,0.1590979
6,1350,0.1591162
6,1365,0.1591272
6,1380,0.1591309
6,1395,0.1591271
6,1410,0.1591155
6,1425,0.159096
6,1440,0.1590686
7,0,0
7,3,8.70704E-07
7,6,3.634057E-05
7,9,0.0002404366
7,12,0.0008428476
7,15,0.002137074
7,18,0.004439662
7,21,0.008051888
7,24,0.01323148
7,27,0.0201748
7,30,0.02900816
7,33,0.03978594
7,36,0.0524939
7,39,0.06705614
7,42,0.08334427
7,45,0.1011879
7,48,0.1203855
7,51,0.1407147
7,54,0.1619421
7,57,0.1838312
7,60,0.2061498
7,63,0.2286754
7,66,0.2511997
7,69,0.2735319
7,72,0.2955005
7,75,0.3169544
7,78,0.3377636
7,81,0.357819
7,84,0.3770311
7,87,0.3953298
7,90,0.4126626
7,93,0.4289931
7,96,0.4442995
7,99,0.4585733
7,102,0.4718171
7,105,0.4840435
7,108,0.4952734
7,111,0.5055348
7,114,0.5148611
7,117,0.5232905
7,120,0.5308642
7,135,0.5574776
7,150,0.5695099
7,165,0.5720865
7,180,0.5691818
7,195,0.5635801
7,210,0.5570816
7,225,0.5507568
7,240,0.5451706
7,255,0.5405579
7,270,0.5369533
7,285,0.5342831
7,300,0.532425
7,315,0.5312455
7,330,0.5306188
7,345,0.5304365
7,360,0.5306091
7,375,0.5310651
7,390,0.5317485
7,405,0.532616
7,420,0.5336339
7,435,0.5347763
7,450,0.5360228
7,465,0.5373575
7,480,0.5387677
7,495,0.5402431
7,510,0.5417755
7,525,0.5433578
7,540,0.5449843
7,555,0.5466499
7,570,0.5483502
7,585,0.5500816
7,600,0.5518407
7,615,0.5536245
7,630,0.5554302
7,645,0.5572554
7,660,0.5590979
7,675,0.5609554
7,690,0.562826
7,705,0.5647079
7,720,0.5665994
7,735,0.5684986
7,750,0.570404
7,765,0.5723141
7,780,0.5742275
7,795,0.5761425
7,810,0.5780581
7,825,0.5799726
7,840,0.581885
7,855,0.5837939
7,870,0.5856981
7,885,0.5875963
7,900,0.5894876
7,915,0.5913705
7,930,0.5932443
7,945,0.5951076
7,960,0.5969595
7,975,0.598799
7,990,0.600625
7,1005,0.6024366
7,1020,0.6042328
7,1035,0.6060128
7,1050,0.6077756
7,1065,0.6095203
7,1080,0.6112462
7,1095,0.6129523
7,1110,0.6146379
7,1125,0.6163023
7,1140,0.6179445
7,1155,0.6195641
7,1170,0.6211602
7,1185,0.6227322
7,1200,0.6242794
7,1215,0.6258013
7,1230,0.6272971
7,1245,0.6287664
7,1260,0.6302085
7,1275,0.6316229
7,1290,0.6330093
7,1305,0.6343669
7,1320,0.6356955
7,1335,0.6369944
7,1350,0.6382634
7,1365,0.6395021
7,1380,0.64071
7,1395,0.6418868
7,1410,0.6430322
7,1425,0.6441458
7,1440,0.6452275
8,0,0
